aid,name,dtype,atype,atype_display,status,status_display,code,sector,num_beneficiaries,amount_requested,amount_funded,start_date,end_date,real_data_update,created_at,modified_at,event,needs_confirmation,country,region,id,event_details
20133,South Sudan - Ebola Virus Disease Readiness,"{'id': 1, 'summary': '', 'name': 'Epidemic', 'translation_module_original_language': 'en'}",0,DREF,0,Active,MDRSS019,"Country cluster for South Sudan, Tanzania and Uganda",0,48810.0,48810.0,2026-05-31T00:00:00Z,2026-07-31T00:00:00Z,2026-05-31 16:33:02+00:00,2026-06-01 06:30:27.892008+00:00,2026-07-10 23:02:27.977333+00:00,7937.0,False,"{'iso': 'SS', 'iso3': 'SSD', 'id': 290, 'record_type': 1, 'record_type_display': 'Country', 'region': 0, 'independent': True, 'is_deprecated': False, 'fdrs': 'DSS001', 'average_household_size': None, 'society_name': 'South Sudan Red Cross', 'name': 'South Sudan', 'translation_module_original_language': 'en'}","{'name': 0, 'id': 0, 'region_name': 'Africa', 'label': 'Africa', 'translation_module_original_language': 'en'}",4438,"{'id': 7937, 'ifrc_severity_level': 2, 'ifrc_severity_level_display': 'Red', 'ifrc_severity_level_update_date': '2026-05-20T13:07:36Z', 'updated_at': '2026-07-09T10:07:51.647808Z', 'name': 'Africa - Ebola BVD -  Outbreak 2026', 'translation_module_original_language': 'en'}"
19568,South Sudan MVD Readiness,"{'id': 1, 'summary': '', 'name': 'Epidemic', 'translation_module_original_language': 'en'}",0,DREF,0,Active,MDRSS018,"Country cluster for South Sudan, Tanzania and Uganda",131000,149859.0,149859.0,2025-12-30T00:00:00Z,2026-02-28T00:00:00Z,2026-03-29 03:32:03+00:00,2026-01-01 06:30:33.183237+00:00,2026-07-10 23:02:25.914381+00:00,,False,"{'iso': 'SS', 'iso3': 'SSD', 'id': 290, 'record_type': 1, 'record_type_display': 'Country', 'region': 0, 'independent': True, 'is_deprecated': False, 'fdrs': 'DSS001', 'average_household_size': None, 'society_name': 'South Sudan Red Cross', 'name': 'South Sudan', 'translation_module_original_language': 'en'}","{'name': 0, 'id': 0, 'region_name': 'Africa', 'label': 'Africa', 'translation_module_original_language': 'en'}",4151,
19166,South Sudan - Floods sEAP,"{'id': 12, 'summary': '', 'name': 'Flood', 'translation_module_original_language': 'en'}",0,DREF,0,Active,MDRSS017,"Country cluster for South Sudan, Tanzania and Uganda",20000,220000.0,220000.0,2025-10-23T00:00:00Z,2027-10-31T00:00:00Z,2026-03-29 03:32:03+00:00,2025-10-24 14:30:16.865005+00:00,2026-07-10 23:02:25.208832+00:00,,False,"{'iso': 'SS', 'iso3': 'SSD', 'id': 290, 'record_type': 1, 'record_type_display': 'Country', 'region': 0, 'independent': True, 'is_deprecated': False, 'fdrs': 'DSS001', 'average_household_size': None, 'society_name': 'South Sudan Red Cross', 'name': 'South Sudan', 'translation_module_original_language': 'en'}","{'name': 0, 'id': 0, 'region_name': 'Africa', 'label': 'Africa', 'translation_module_original_language': 'en'}",4124,
18708,South Sudan - Civil Unrest,"{'id': 7, 'summary': '', 'name': 'Civil Unrest', 'translation_module_original_language': 'en'}",0,DREF,0,Active,MDRSS016,"Country cluster for South Sudan, Tanzania and Uganda",8948,389992.0,389992.0,2025-01-28T00:00:00Z,2025-04-30T00:00:00Z,2026-03-29 03:32:03+00:00,2025-01-29 10:45:42.774771+00:00,2026-07-10 23:02:22.202398+00:00,7378.0,False,"{'iso': 'SS', 'iso3': 'SSD', 'id': 290, 'record_type': 1, 'record_type_display': 'Country', 'region': 0, 'independent': True, 'is_deprecated': False, 'fdrs': 'DSS001', 'average_household_size': None, 'society_name': 'South Sudan Red Cross', 'name': 'South Sudan', 'translation_module_original_language': 'en'}","{'name': 0, 'id': 0, 'region_name': 'Africa', 'label': 'Africa', 'translation_module_original_language': 'en'}",4007,"{'id': 7378, 'ifrc_severity_level': 1, 'ifrc_severity_level_display': 'Orange', 'ifrc_severity_level_update_date': None, 'updated_at': '2025-04-02T10:36:13.990870Z', 'name': 'SSD: Civil Unrest - 01-2025 - Jan 2025 unrest', 'translation_module_original_language': 'en'}"
18401,South Sudan - Floods,"{'id': 12, 'summary': '', 'name': 'Flood', 'translation_module_original_language': 'en'}",1,Emergency Appeal,0,Active,MDRSS014,"Country cluster for South Sudan, Tanzania and Uganda",300000,5000000.0,2199041.85,2024-07-25T00:00:00Z,2026-12-31T00:00:00Z,2025-12-10 08:37:04+00:00,2024-07-25 16:45:19.695919+00:00,2026-07-10 23:02:20.132480+00:00,7082.0,False,"{'iso': 'SS', 'iso3': 'SSD', 'id': 290, 'record_type': 1, 'record_type_display': 'Country', 'region': 0, 'independent': True, 'is_deprecated': False, 'fdrs': 'DSS001', 'average_household_size': None, 'society_name': 'South Sudan Red Cross', 'name': 'South Sudan', 'translation_module_original_language': 'en'}","{'name': 0, 'id': 0, 'region_name': 'Africa', 'label': 'Africa', 'translation_module_original_language': 'en'}",3930,"{'id': 7082, 'ifrc_severity_level': 0, 'ifrc_severity_level_display': 'Yellow', 'ifrc_severity_level_update_date': None, 'updated_at': '2025-07-09T07:13:45.886006Z', 'name': 'Sudan : Floods & Cholera', 'translation_module_original_language': 'en'}"
17770,South Sudan - Population Movement from Sudan,"{'id': 5, 'summary': '', 'name': 'Population Movement', 'translation_module_original_language': 'en'}",0,DREF,0,Active,MDRSS013,"Country cluster for South Sudan, Tanzania and Uganda",24000,355567.0,355567.0,2023-05-08T00:00:00Z,2023-08-31T00:00:00Z,2023-06-02 11:54:03+00:00,2023-05-08 13:46:22.216766+00:00,2023-06-05 08:49:57.323943+00:00,6459.0,False,"{'iso': 'SS', 'iso3': 'SSD', 'id': 290, 'record_type': 1, 'record_type_display': 'Country', 'region': 0, 'independent': True, 'is_deprecated': False, 'fdrs': 'DSS001', 'average_household_size': None, 'society_name': 'South Sudan Red Cross', 'name': 'South Sudan', 'translation_module_original_language': 'en'}","{'name': 0, 'id': 0, 'region_name': 'Africa', 'label': 'Africa', 'translation_module_original_language': 'en'}",3718,"{'id': 6459, 'ifrc_severity_level': 1, 'ifrc_severity_level_display': 'Orange', 'ifrc_severity_level_update_date': None, 'updated_at': '2023-05-18T08:06:27.819874Z', 'name': 'South Sudan - Population Movement from Sudan', 'translation_module_original_language': 'en'}"
17721,South Sudan - Cholera Outbreak Upper Nile,"{'id': 1, 'summary': '', 'name': 'Epidemic', 'translation_module_original_language': 'en'}",0,DREF,1,Closed,MDRSS012,"Country cluster for South Sudan, Tanzania and Uganda",66121,158035.0,158035.0,2023-03-20T00:00:00Z,2023-07-31T00:00:00Z,2024-04-23 16:56:03+00:00,2023-03-20 16:46:23.149156+00:00,2026-07-02 05:00:45.522815+00:00,6420.0,False,"{'iso': 'SS', 'iso3': 'SSD', 'id': 290, 'record_type': 1, 'record_type_display': 'Country', 'region': 0, 'independent': True, 'is_deprecated': False, 'fdrs': 'DSS001', 'average_household_size': None, 'society_name': 'South Sudan Red Cross', 'name': 'South Sudan', 'translation_module_original_language': 'en'}","{'name': 0, 'id': 0, 'region_name': 'Africa', 'label': 'Africa', 'translation_module_original_language': 'en'}",3706,"{'id': 6420, 'ifrc_severity_level': 0, 'ifrc_severity_level_display': 'Yellow', 'ifrc_severity_level_update_date': None, 'updated_at': '2024-06-03T18:13:26.827942Z', 'name': 'SSD: Epidemic - 2023-02 - Cholera Outbreak Upper Nile', 'translation_module_original_language': 'en'}"
16858,South Sudan - Anticipatory Actions EVD Outbreak,"{'id': 1, 'summary': '', 'name': 'Epidemic', 'translation_module_original_language': 'en'}",0,DREF,1,Closed,MDRSS011,"Country cluster for South Sudan, Tanzania and Uganda",220880,154718.0,154718.0,2022-10-13T00:00:00Z,2023-01-31T00:00:00Z,2024-02-09 09:43:01+00:00,2022-10-14 07:45:50.356482+00:00,2026-07-02 05:00:43.241772+00:00,6256.0,False,"{'iso': 'SS', 'iso3': 'SSD', 'id': 290, 'record_type': 1, 'record_type_display': 'Country', 'region': 0, 'independent': True, 'is_deprecated': False, 'fdrs': 'DSS001', 'average_household_size': None, 'society_name': 'South Sudan Red Cross', 'name': 'South Sudan', 'translation_module_original_language': 'en'}","{'name': 0, 'id': 0, 'region_name': 'Africa', 'label': 'Africa', 'translation_module_original_language': 'en'}",3632,"{'id': 6256, 'ifrc_severity_level': 1, 'ifrc_severity_level_display': 'Orange', 'ifrc_severity_level_update_date': None, 'updated_at': '2024-06-03T18:14:34.063198Z', 'name': 'SSD: Anticipatory Actions for EVD Outbreak', 'translation_module_original_language': 'en'}"
15268,South Sudan - Floods,"{'id': 12, 'summary': '', 'name': 'Flood', 'translation_module_original_language': 'en'}",1,Emergency Appeal,1,Closed,MDRSS009,"Country cluster for South Sudan, Tanzania and Uganda",117730,2726000.0,1158834.1,2019-11-25T00:00:00Z,2021-07-31T00:00:00Z,2023-01-03 10:46:02+00:00,2019-11-27 12:45:14.562371+00:00,2026-03-02 11:30:35.419790+00:00,3835.0,False,"{'iso': 'SS', 'iso3': 'SSD', 'id': 290, 'record_type': 1, 'record_type_display': 'Country', 'region': 0, 'independent': True, 'is_deprecated': False, 'fdrs': 'DSS001', 'average_household_size': None, 'society_name': 'South Sudan Red Cross', 'name': 'South Sudan', 'translation_module_original_language': 'en'}","{'name': 0, 'id': 0, 'region_name': 'Africa', 'label': 'Africa', 'translation_module_original_language': 'en'}",3245,"{'id': 3835, 'ifrc_severity_level': 0, 'ifrc_severity_level_display': 'Yellow', 'ifrc_severity_level_update_date': None, 'updated_at': '2019-10-25T13:34:29.235988Z', 'name': 'South Sudan, Greater Upper Nile region,Floods,18th-24th Oct 2019', 'translation_module_original_language': 'en'}"
15113,South Sudan - Floods,"{'id': 12, 'summary': '', 'name': 'Flood', 'translation_module_original_language': 'en'}",0,DREF,1,Closed,MDRSS008,"Country cluster for South Sudan, Tanzania and Uganda",34560,135906.0,135906.0,2019-06-22T00:00:00Z,2019-11-22T00:00:00Z,2023-01-03 10:46:02+00:00,2019-06-24 09:45:13.520779+00:00,2026-03-02 11:31:36.313581+00:00,3611.0,False,"{'iso': 'SS', 'iso3': 'SSD', 'id': 290, 'record_type': 1, 'record_type_display': 'Country', 'region': 0, 'independent': True, 'is_deprecated': False, 'fdrs': 'DSS001', 'average_household_size': None, 'society_name': 'South Sudan Red Cross', 'name': 'South Sudan', 'translation_module_original_language': 'en'}","{'name': 0, 'id': 0, 'region_name': 'Africa', 'label': 'Africa', 'translation_module_original_language': 'en'}",3187,"{'id': 3611, 'ifrc_severity_level': 0, 'ifrc_severity_level_display': 'Yellow', 'ifrc_severity_level_update_date': None, 'updated_at': '2019-06-13T12:35:25.615221Z', 'name': 'Some 7,780 HHs displaced as flood hits the former Northern Bahr el Gazal state in South Sudan', 'translation_module_original_language': 'en'}"
