Country,Admin1,Admin2,ISO3,Admin2 Pcode,Admin1 Pcode,Month,Year,Events,Fatalities
South Sudan,Eastern Equatoria,Kapoeta North,SSD,SS0204,SS02,January,2026,0,0
South Sudan,Warrap,Tonj South,SSD,SS0805,SS08,January,2026,4,3
South Sudan,Unity,Panriang,SSD,SS0608,SS06,January,2026,0,0
South Sudan,Central Equatoria,Juba,SSD,SS0101,SS01,January,2026,5,26
South Sudan,Northern Bahr el Ghazal,Aweil North,SSD,SS0503,SS05,January,2026,0,0
South Sudan,Jonglei,Canal/Pigi,SSD,SS0304,SS03,January,2026,2,4
South Sudan,Jonglei,Pochalla,SSD,SS0309,SS03,January,2026,2,1
South Sudan,Northern Bahr el Ghazal,Aweil West,SSD,SS0505,SS05,January,2026,0,0
South Sudan,Unity,Mayendit,SSD,SS0605,SS06,January,2026,1,3
South Sudan,Lakes,Cueibet,SSD,SS0402,SS04,January,2026,2,7
South Sudan,Upper Nile,Maban,SSD,SS0705,SS07,January,2026,1,1
South Sudan,Warrap,Gogrial East,SSD,SS0801,SS08,January,2026,5,29
South Sudan,Upper Nile,Renk,SSD,SS0711,SS07,January,2026,0,0
South Sudan,Warrap,Twic,SSD,SS0806,SS08,January,2026,1,0
South Sudan,Upper Nile,Panyikang,SSD,SS0710,SS07,January,2026,0,0
South Sudan,Eastern Equatoria,Kapoeta East,SSD,SS0203,SS02,January,2026,10,12
South Sudan,Warrap,Tonj North,SSD,SS0804,SS08,January,2026,3,18
South Sudan,Eastern Equatoria,Ikotos,SSD,SS0202,SS02,January,2026,0,0
South Sudan,Jonglei,Duk,SSD,SS0305,SS03,January,2026,4,58
South Sudan,Lakes,Wulu,SSD,SS0406,SS04,January,2026,0,0
South Sudan,Upper Nile,Luakpiny/Nasir,SSD,SS0704,SS07,January,2026,3,0
South Sudan,Northern Bahr el Ghazal,Aweil South,SSD,SS0504,SS05,January,2026,0,0
South Sudan,Western Equatoria,Nagero,SSD,SS1007,SS10,January,2026,0,0
South Sudan,Jonglei,Akobo,SSD,SS0301,SS03,January,2026,2,1
South Sudan,Upper Nile,Longchuk,SSD,SS0703,SS07,January,2026,0,0
South Sudan,Upper Nile,Fashoda,SSD,SS0702,SS07,January,2026,0,0
South Sudan,Western Equatoria,Mundri West,SSD,SS1005,SS10,January,2026,0,0
South Sudan,Unity,Koch,SSD,SS0603,SS06,January,2026,1,5
South Sudan,Western Bahr el Ghazal,Jur River,SSD,SS0901,SS09,January,2026,0,0
South Sudan,Unity,Abiemnhom,SSD,SS0601,SS06,January,2026,0,0
South Sudan,Unity,Guit,SSD,SS0602,SS06,January,2026,3,0
South Sudan,Central Equatoria,Yei,SSD,SS0106,SS01,January,2026,4,7
South Sudan,Jonglei,Fangak,SSD,SS0306,SS03,January,2026,0,0
South Sudan,Western Bahr el Ghazal,Raja,SSD,SS0902,SS09,January,2026,0,0
South Sudan,Central Equatoria,Terekeka,SSD,SS0105,SS01,January,2026,1,0
South Sudan,Central Equatoria,Kajo Keji,SSD,SS0102,SS01,January,2026,0,0
South Sudan,Upper Nile,Baliet,SSD,SS0701,SS07,January,2026,0,0
South Sudan,Jonglei,Bor South,SSD,SS0303,SS03,January,2026,1,1
South Sudan,Warrap,Tonj East,SSD,SS0803,SS08,January,2026,2,27
South Sudan,Western Equatoria,Tambura,SSD,SS1009,SS10,January,2026,1,0
