Date of analysis,Country,Total country population,Level 1,Validity period,From,To,Phase,Number,Percentage
Mar 2026,SSD,14203031,Unity,first projection,2026-04-01,2026-07-31,all,1266751,1.0
Mar 2026,SSD,14203031,Unity,first projection,2026-04-01,2026-07-31,3+,841524,0.66
Mar 2026,SSD,14203031,Unity,first projection,2026-04-01,2026-07-31,1,116716,0.09
Mar 2026,SSD,14203031,Unity,first projection,2026-04-01,2026-07-31,2,308512,0.24
Mar 2026,SSD,14203031,Unity,first projection,2026-04-01,2026-07-31,3,586638,0.46
Mar 2026,SSD,14203031,Unity,first projection,2026-04-01,2026-07-31,4,254885,0.2
Mar 2026,SSD,14203031,Unity,first projection,2026-04-01,2026-07-31,5,0,0.0
Mar 2026,SSD,14203031,Unity,second projection,2026-04-01,2026-07-31,all,1266751,1.0
Mar 2026,SSD,14203031,Unity,second projection,2026-04-01,2026-07-31,3+,841524,0.66
Mar 2026,SSD,14203031,Unity,second projection,2026-04-01,2026-07-31,1,116716,0.09
Mar 2026,SSD,14203031,Unity,second projection,2026-04-01,2026-07-31,2,308512,0.24
Mar 2026,SSD,14203031,Unity,second projection,2026-04-01,2026-07-31,3,586638,0.46
Mar 2026,SSD,14203031,Unity,second projection,2026-04-01,2026-07-31,4,254885,0.2
Mar 2026,SSD,14203031,Unity,second projection,2026-04-01,2026-07-31,5,0,0.0
Mar 2026,SSD,14203031,Jonglei,first projection,2026-04-01,2026-07-31,all,2187359,1.0
Mar 2026,SSD,14203031,Jonglei,first projection,2026-04-01,2026-07-31,3+,1410554,0.64
Mar 2026,SSD,14203031,Jonglei,first projection,2026-04-01,2026-07-31,1,303548,0.14
Mar 2026,SSD,14203031,Jonglei,first projection,2026-04-01,2026-07-31,2,473256,0.22
Mar 2026,SSD,14203031,Jonglei,first projection,2026-04-01,2026-07-31,3,727656,0.33
Mar 2026,SSD,14203031,Jonglei,first projection,2026-04-01,2026-07-31,4,633735,0.29
Mar 2026,SSD,14203031,Jonglei,first projection,2026-04-01,2026-07-31,5,49166,0.02
Mar 2026,SSD,14203031,Jonglei,second projection,2026-04-01,2026-07-31,all,2187359,1.0
Mar 2026,SSD,14203031,Jonglei,second projection,2026-04-01,2026-07-31,3+,1410554,0.64
Mar 2026,SSD,14203031,Jonglei,second projection,2026-04-01,2026-07-31,1,303548,0.14
Mar 2026,SSD,14203031,Jonglei,second projection,2026-04-01,2026-07-31,2,473256,0.22
Mar 2026,SSD,14203031,Jonglei,second projection,2026-04-01,2026-07-31,3,727656,0.33
Mar 2026,SSD,14203031,Jonglei,second projection,2026-04-01,2026-07-31,4,633735,0.29
Mar 2026,SSD,14203031,Jonglei,second projection,2026-04-01,2026-07-31,5,49166,0.02
Mar 2026,SSD,14203031,Eastern Equatoria,first projection,2026-04-01,2026-07-31,all,1218368,1.0
Mar 2026,SSD,14203031,Eastern Equatoria,first projection,2026-04-01,2026-07-31,3+,521055,0.43
Mar 2026,SSD,14203031,Eastern Equatoria,first projection,2026-04-01,2026-07-31,1,327084,0.27
Mar 2026,SSD,14203031,Eastern Equatoria,first projection,2026-04-01,2026-07-31,2,370230,0.3
Mar 2026,SSD,14203031,Eastern Equatoria,first projection,2026-04-01,2026-07-31,3,367462,0.3
Mar 2026,SSD,14203031,Eastern Equatoria,first projection,2026-04-01,2026-07-31,4,153593,0.13
Mar 2026,SSD,14203031,Eastern Equatoria,first projection,2026-04-01,2026-07-31,5,0,0.0
Mar 2026,SSD,14203031,Eastern Equatoria,second projection,2026-04-01,2026-07-31,all,1218368,1.0
Mar 2026,SSD,14203031,Eastern Equatoria,second projection,2026-04-01,2026-07-31,3+,521055,0.43
Mar 2026,SSD,14203031,Eastern Equatoria,second projection,2026-04-01,2026-07-31,1,327084,0.27
Mar 2026,SSD,14203031,Eastern Equatoria,second projection,2026-04-01,2026-07-31,2,370230,0.3
Mar 2026,SSD,14203031,Eastern Equatoria,second projection,2026-04-01,2026-07-31,3,367462,0.3
Mar 2026,SSD,14203031,Eastern Equatoria,second projection,2026-04-01,2026-07-31,4,153593,0.13
Mar 2026,SSD,14203031,Eastern Equatoria,second projection,2026-04-01,2026-07-31,5,0,0.0
Mar 2026,SSD,14203031,Lakes,first projection,2026-04-01,2026-07-31,all,1286922,1.0
Mar 2026,SSD,14203031,Lakes,first projection,2026-04-01,2026-07-31,3+,657840,0.51
Mar 2026,SSD,14203031,Lakes,first projection,2026-04-01,2026-07-31,1,210253,0.16
Mar 2026,SSD,14203031,Lakes,first projection,2026-04-01,2026-07-31,2,418833,0.33
Mar 2026,SSD,14203031,Lakes,first projection,2026-04-01,2026-07-31,3,474328,0.37
