FundType,PooledFundId,AllocationtypeId,ChfId,ChfProjectCode,OrgId,PrjDuration,EndDate,Budget,BenM,BenW,BenB,BenG,GMId,GAMId,GlbPrjStatusId,GlobalUniqueOrgId,DisabilityMarkerId,GenderEqualityMarkerId,GBVMarkerId,GAMRefNumber,PartnerProjectRisk,PartnerRisk,DisabledM,DisabledW,DisabledB,DisabledG,AchM,AchW,AchB,AchG,BenMSplit,BenWSplit,BenBSplit,BenGSplit,BenTotSplit,AchMSplit,AchWSplit,AchBSplit,AchGSplit,AchTotSplit,AchDisabledM,AchDisabledW,AchDisabledB,AchDisabledG,GBVBudget,AchGBVBudget,GBVPeopleTgt,AchGBVPeople,GendEqBudget,AchGendEqBudget,GendEqPeopleTgt,AchGendEqPeople,ProtBudget,AchProtBudget,ProtPeopleTgt,AchProtPeople,RptCode,StartDate,PrjApprDate,CVATotPeople,AchCVATotPeople
1,19,1400,34947,CBPF-SSD-25-R-INGO-34947,3654,"17 Months, 4 Days",7/31/2026 12:00:00 AM,567000.49,3500,5000,2500,4000,,4,77,16575,9,6,2,H5105-3127-5100,Medium,Medium,400,500,200,400,3181,4545,2272,3635,0|1100|1600|800|0,0|1250|2500|1250|0,0|500|1600|400|0,0|800|2600|600|0,0|3650|8300|3050|0,|1000|1454|727|,|1136|2273|1136|,|454|1454|364|,|727|2363|545|,|3317|7544|2772|,364,453,182,364,11340.01,,15000,,0.00,,15000,,11340.01,,15000,,1,2/28/2025 12:00:00 AM,5/5/2025 5:53:45 PM,,
1,19,1400,34949,CBPF-SSD-25-R-INGO-34949,3505,"16 Months, 4 Days",6/30/2026 12:00:00 AM,238000,1974,2226,1316,1484,,4,115,6847,7,5,3,H4746-3686-4075,Medium,Medium,99,111,66,74,0,0,0,0,0|0|1382|592|0,0|0|1558|668|0,0|0|921|395|0,0|0|1039|445|0,0|0|4900|2100|0,||0|0|,||0|0|,||0|0|,||0|0|,||0|0|,0,0,0,0,0.00,,0,,0.00,,0,,0.00,,0,,1,2/27/2025 12:00:00 AM,2/26/2025 3:10:28 PM,2310,
1,19,1400,34955,CBPF-SSD-25-R-INGO-34955,3543,16 Months,6/30/2026 12:00:00 AM,380000,3016,3364,2436,2784,,4,115,6885,9,25,3,H2035-6710-7179,Medium,Medium,347,387,280,320,3900,4351,3151,3598,422|30|1508|1056|0,471|34|1682|1177|0,341|24|1218|853|0,390|28|1392|974|0,1624|116|5800|4060|0,312|39|2184|1365|,348|44|2436|1523|,252|32|1764|1103|,288|36|2016|1258|,1200|151|8400|5249|,237,264,192,219,0.00,,0,,0.00,,0,,0.00,,0,,1,3/1/2025 12:00:00 AM,3/7/2025 10:41:11 PM,,
1,19,1430,35623,CBPF-SSD-25-R-INGO-35623,3528,6 Months,11/30/2025 12:00:00 AM,1000000,9797,16000,20160,21840,,4,113,6870,9,25,3,H5309-4992-6586,Medium,Medium,882,1440,1814,1966,22750,27760,21447,25037,784|3233|2449|3331|0,1280|5280|4002|5438|0,1613|6650|5040|6857|0,1747|7206|5463|7424|0,5424|22369|16954|23050|0,1912|7473|5664|7701|0,2221|9159|6942|9438|0,1716|7076|5363|7292|0,2003|8261|6261|8512|0,7852|31969|24230|32943|0,2039,2498,1930,2253,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,0,0,2,6/1/2025 12:00:00 AM,6/17/2025 1:35:13 PM,480,283
1,19,1430,35626,CBPF-SSD-25-R-INGO-35626,4015,6 Months,11/30/2025 12:00:00 AM,400000,26981,29229,9979,10811,,4,115,7359,8,25,3,H3878-2029-8016,Medium,Medium,4047,4384,1497,1622,8301,8392,10579,5022,0|809|5396|20776|0,0|877|5846|22506|0,0|299|1996|7684|0,0|324|2162|8325|0,0|2309|15400|59291|0,0|4566|918|2817|0,0|5137|52|3203|0,0|6835|190|3554|0,0|2607|63|2352|0,0|19145|1223|11926|0,10,8,0,2,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,22164,0,2,6/1/2025 12:00:00 AM,6/17/2025 1:36:12 PM,,
1,19,1430,35629,CBPF-SSD-25-R-INGO-35629,3474,6 Months,11/30/2025 12:00:00 AM,300000.01,10376,15564,15564,23346,,4,113,6816,9,25,3,H5821-0500-8063,Medium,Medium,10,10,10,10,3205,4697,9720,10596,0|3632|4150|2594|0,0|5447|6226|3891|0,0|5447|6226|3891|0,0|8171|9338|5837|0,0|22697|25940|16213|0,0|1570|641|994|0,0|2302|939|1456|0,0|4763|1944|3013|0,0|5192|2119|3285|0,0|13827|5643|8748|0,2,3,6,6,0.00,0.00,0,0,0.00,0.00,0,0,3000.00,0.00,50,0,2,6/1/2025 12:00:00 AM,7/1/2025 3:00:02 PM,,
1,19,1517,38343,CBPF-SSD-25-R-INGO-38343,3528,7 Months,8/31/2026 12:00:00 AM,209994.78,0,731,1526,1589,,4,77,6870,9,25,3,H5309-4992-6586,Medium,Medium,0,66,137,143,0,2627,1676,1915,0|0|0|0|0,146|175|154|256|0,305|366|320|535|0,318|381|334|556|0,769|922|808|1347|0,0|0|0|0|,525|630|552|920|,335|402|352|587|,383|459|402|671|,1243|1491|1306|2178|,0,45,95,98,0.00,,0,,0.00,,0,,0.00,,0,,1,2/1/2026 12:00:00 AM,2/9/2026 6:14:25 PM,,
1,19,1517,38350,CBPF-SSD-25-R-INGO-38350,3553,6 Months,7/31/2026 12:00:00 AM,350000,5954,10369,11615,12089,,4,77,6895,8,25,3,H8893-9909-4117,Medium,Medium,893,1555,1743,1813,77,444,528,526,2560|0|1072|2322|0,4459|0|1866|4044|0,4995|0|2090|4530|0,5198|0|2176|4715|0,17212|0|7204|15611|0,33||14|30|,191||80|173|,227||95|206|,226||95|205|,677||284|614|,11,67,79,79,0.00,,0,,0.00,,0,,0.00,,0,,1,2/1/2026 12:00:00 AM,2/11/2026 2:23:53 PM,,
1,19,1517,38355,CBPF-SSD-25-R-INGO-38355,3523,9 Months,11/1/2026 12:00:00 AM,331100,7095,10007,4940,5250,,4,77,6865,9,25,3,H9782-4521-7951,Medium,Medium,100,179,50,54,1581,2522,1827,1963,710|0|0|6385|0,1001|0|0|9006|0,494|0|0|4446|0,525|0|0|4725|0,2730|0|0|24562|0,0|||1581|,0|||2522|,0|||1827|,0|||1963|,0|||7893|,0,0,0,0,0.00,,0,,0.00,,0,,0.00,,0,,1,2/2/2026 12:00:00 AM,2/9/2026 6:17:47 PM,,
1,19,1517,38369,CBPF-SSD-25-R-INGO-38369,3654,12 Months,2/1/2027 12:00:00 AM,488567.6,5633,6638,6633,6288,,4,77,16575,8,6,2,H9809-3388-5304,Medium,Medium,432,505,491,483,0,0,0,0,4238|0|0|1395|0,4780|0|0|1858|0,4774|0|0|1859|0,4538|0|0|1750|0,18330|0|0|6862|0,0|||0|,0|||0|,0|||0|,0|||0|,0|||0|,0,0,0,0,4885.68,,25200,,0.00,,0,,4885.68,,25200,,1,2/2/2026 12:00:00 AM,2/9/2026 6:00:11 PM,,
