id,amountUSD,fullParkedAmountUSD,budgetYear,childFlowIds,contributionType,createdAt,date,decisionDate,description,grandBargainEarmarkingType,exchangeRate,firstReportedDate,flowType,keywords,newMoney,originalAmount,originalCurrency,method,parentFlowId,status,updatedAt,versionId,sourceObjects,destinationObjects,boundary,onBoundary,reportDetails,refCode
231190,0,11723329.0,2021,"[231193, 231194, 231195, 231191, 231192]",financial,2021-05-01T02:25:41.225Z,2021-04-30T00:00:00Z,2021-04-30T00:00:00Z,Strengthening resilient communities through food security and agriculture,['earmarked'],0.853,2021-04-30T00:00:00Z,Parked,['Multiyear'],True,0.0,EUR,Traditional aid,,commitment,2024-12-18T22:04:39.983Z,1,"[{'type': 'Organization', 'id': '4306', 'name': 'Germany, Government of', 'behavior': 'single', 'organizationTypes': ['Governments'], 'organizationSubTypes': ['National Governments'], 'organizationLevels': ['National and Sub-National State Actors']}, {'type': 'Location', 'id': '83', 'name': 'Germany', 'behavior': 'single'}, {'type': 'UsageYear', 'id': '42', 'name': '2021', 'behavior': 'single'}]","[{'type': 'Organization', 'id': '2987', 'name': 'Deutsche Gesellschaft für Internationale Zusammenarbeit', 'behavior': 'single', 'organizationTypes': ['Governments'], 'organizationSubTypes': ['International Government Entities'], 'organizationLevels': ['International Actors']}, {'type': 'Location', 'id': '211', 'name': 'South Sudan', 'behavior': 'single'}, {'type': 'UsageYear', 'id': '42', 'name': '2021', 'behavior': 'shared'}, {'type': 'UsageYear', 'id': '43', 'name': '2022', 'behavior': 'shared'}, {'type': 'UsageYear', 'id': '44', 'name': '2023', 'behavior': 'shared'}, {'type': 'UsageYear', 'id': '45', 'name': '2024', 'behavior': 'shared'}, {'type': 'UsageYear', 'id': '46', 'name': '2025', 'behavior': 'shared'}]",incoming,shared,"[{'sourceType': 'Primary', 'organization': 'Germany, Government of', 'reportChannel': 'From EDRIS', 'date': '2021-04-30T00:00:00.000Z'}]",222 E6050 SSD 1
231195,2344666,,2025,,financial,2023-02-11T02:26:46.254Z,2021-04-30T00:00:00Z,2021-04-30T00:00:00Z,Strengthening resilient communities through food security and agriculture,['earmarked'],0.853,2021-04-30T00:00:00Z,Standard,['Multiyear'],True,2000000.0,EUR,Traditional aid,231190.0,commitment,2024-12-18T22:04:39.839Z,2,"[{'type': 'Organization', 'id': '4306', 'name': 'Germany, Government of', 'behavior': 'single', 'organizationTypes': ['Governments'], 'organizationSubTypes': ['National Governments'], 'organizationLevels': ['National and Sub-National State Actors']}, {'type': 'Location', 'id': '83', 'name': 'Germany', 'behavior': 'single'}, {'type': 'UsageYear', 'id': '42', 'name': '2021', 'behavior': 'single'}]","[{'type': 'Plan', 'id': '1223', 'name': 'South Sudan Humanitarian Needs and Response Plan 2025', 'behavior': 'single'}, {'type': 'Organization', 'id': '2987', 'name': 'Deutsche Gesellschaft für Internationale Zusammenarbeit', 'behavior': 'single', 'organizationTypes': ['Governments'], 'organizationSubTypes': ['International Government Entities'], 'organizationLevels': ['International Actors']}, {'type': 'Cluster', 'id': '7813', 'name': 'Food Security and Livelihoods', 'behavior': 'single'}, {'type': 'GlobalCluster', 'id': '6', 'name': 'Food Security', 'behavior': 'single'}, {'type': 'Location', 'id': '211', 'name': 'South Sudan', 'behavior': 'single'}, {'type': 'UsageYear', 'id': '46', 'name': '2025', 'behavior': 'single'}]",incoming,single,"[{'sourceType': 'Primary', 'organization': 'Germany, Government of', 'reportChannel': 'From EDRIS', 'date': '2023-02-09T00:00:00.000Z'}]",222 E6050 SSD 1
231201,-1,2633262.0,2021,"[231208, 231202, 231207, 231203, 231206]",financial,2021-05-01T02:25:43.375Z,2021-04-30T00:00:00Z,2021-04-30T00:00:00Z,Strengthening food security and resilience,['softly earmarked'],0.938,2021-04-30T00:00:00Z,Parked,['Multiyear'],True,0.0,EUR,Traditional aid,,commitment,2023-07-26T07:26:05.812Z,1,"[{'type': 'Organization', 'id': '4306', 'name': 'Germany, Government of', 'behavior': 'single', 'organizationTypes': ['Governments'], 'organizationSubTypes': ['National Governments'], 'organizationLevels': ['National and Sub-National State Actors']}, {'type': 'Location', 'id': '83', 'name': 'Germany', 'behavior': 'single'}, {'type': 'UsageYear', 'id': '42', 'name': '2021', 'behavior': 'single'}]","[{'type': 'Organization', 'id': '2992', 'name': 'German Red Cross', 'behavior': 'single', 'organizationTypes': ['Red Cross/Red Crescent Organizations'], 'organizationSubTypes': ['International Red Cross/Red Crescent Movement'], 'organizationLevels': ['International Actors']}, {'type': 'Location', 'id': '211', 'name': 'South Sudan', 'behavior': 'single'}, {'type': 'UsageYear', 'id': '46', 'name': '2025', 'behavior': 'shared'}, {'type': 'UsageYear', 'id': '45', 'name': '2024', 'behavior': 'shared'}, {'type': 'UsageYear', 'id': '44', 'name': '2023', 'behavior': 'shared'}, {'type': 'UsageYear', 'id': '43', 'name': '2022', 'behavior': 'shared'}, {'type': 'UsageYear', 'id': '42', 'name': '2021', 'behavior': 'shared'}]",incoming,shared,"[{'sourceType': 'Primary', 'organization': 'Germany, Government of', 'reportChannel': 'From EDRIS', 'date': '2021-04-30T00:00:00.000Z'}]",222 E6050 SSD-0032/001
231208,426439,,2025,,financial,2023-02-11T02:26:54.297Z,2021-04-30T00:00:00Z,2021-04-30T00:00:00Z,Strengthening food security and resilience,['softly earmarked'],0.938,2021-04-30T00:00:00Z,Standard,['Multiyear'],True,400000.0,EUR,Traditional aid,231201.0,commitment,2023-07-26T07:25:36.134Z,2,"[{'type': 'Organization', 'id': '4306', 'name': 'Germany, Government of', 'behavior': 'single', 'organizationTypes': ['Governments'], 'organizationSubTypes': ['National Governments'], 'organizationLevels': ['National and Sub-National State Actors']}, {'type': 'Location', 'id': '83', 'name': 'Germany', 'behavior': 'single'}, {'type': 'UsageYear', 'id': '42', 'name': '2021', 'behavior': 'single'}]","[{'type': 'Organization', 'id': '2992', 'name': 'German Red Cross', 'behavior': 'single', 'organizationTypes': ['Red Cross/Red Crescent Organizations'], 'organizationSubTypes': ['International Red Cross/Red Crescent Movement'], 'organizationLevels': ['International Actors']}, {'type': 'GlobalCluster', 'id': '8', 'name': 'Logistics', 'behavior': 'single'}, {'type': 'Location', 'id': '211', 'name': 'South Sudan', 'behavior': 'single'}, {'type': 'UsageYear', 'id': '46', 'name': '2025', 'behavior': 'single'}]",incoming,single,"[{'sourceType': 'Primary', 'organization': 'Germany, Government of', 'reportChannel': 'From EDRIS', 'date': '2023-02-09T00:00:00.000Z'}]",222 E6050 SSD-0032/001
235346,114679,100057675.0,2021,"[235385, 235347, 260616, 243733, 266169, 266168, 280032, 278236, 278237, 278239, 235388, 235389, 235361, 235360, 235370, 235390, 235382, 235354, 235381, 235373, 235366, 235364, 288682, 306303, 303236, 303238, 305368, 303237, 305369, 303218, 371283, 371284, 335110, 335207, 335344, 335345, 338084, 338384, 338389, 235377, 305931, 266532, 266547, 266531, 279228, 235369, 266543, 235349, 278241, 278242, 338001, 235356, 266545, 266546, 266530, 278245, 278238, 235371, 278243, 266544, 266541, 235384, 303219, 235372, 266533, 266540, 278240, 235357, 288681, 345750, 235387, 235355, 235374, 235380, 266548, 266534, 235352, 278244, 235353, 235386, 235350, 235351, 235363, 235358, 235367, 235375, 266535, 235368, 235359, 235348, 266542, 235383, 235362, 235379, 345909, 335366, 235378]",financial,2021-07-13T02:25:42.719Z,2021-07-12T00:00:00Z,2021-07-12T00:00:00Z,Aid and protection measures for refugees and internally displaced persons in the East Africa / Great Lakes region,['softly earmarked'],0.9098,2021-07-12T00:00:00Z,Parked,['Multiyear'],True,100000.0,EUR,Traditional aid,,commitment,2026-02-10T17:05:56.385Z,1,"[{'type': 'Organization', 'id': '4306', 'name': 'Germany, Government of', 'behavior': 'single', 'organizationTypes': ['Governments'], 'organizationSubTypes': ['National Governments'], 'organizationLevels': ['National and Sub-National State Actors']}, {'type': 'Location', 'id': '83', 'name': 'Germany', 'behavior': 'single'}, {'type': 'UsageYear', 'id': '42', 'name': '2021', 'behavior': 'shared'}, {'type': 'UsageYear', 'id': '43', 'name': '2022', 'behavior': 'shared'}, {'type': 'UsageYear', 'id': '44', 'name': '2023', 'behavior': 'shared'}, {'type': 'UsageYear', 'id': '45', 'name': '2024', 'behavior': 'shared'}]","[{'type': 'Organization', 'id': '4397', 'name': 'United Nations High Commissioner for Refugees', 'behavior': 'single', 'organizationTypes': ['Multilateral Organizations'], 'organizationSubTypes': ['UN Agencies'], 'organizationLevels': ['International Actors']}, {'type': 'GlobalCluster', 'id': '26479', 'name': 'Multi-sector', 'behavior': 'single'}, {'type': 'Location', 'id': '37', 'name': 'Burundi', 'behavior': 'shared'}, {'type': 'Location', 'id': '185', 'name': 'Rwanda', 'behavior': 'shared'}, {'type': 'Location', 'id': '221', 'name': 'Tanzania, United Republic of', 'behavior': 'shared'}, {'type': 'Location', 'id': '62', 'name': 'Djibouti', 'behavior': 'shared'}, {'type': 'Location', 'id': '69', 'name': 'Eritrea', 'behavior': 'shared'}, {'type': 'Location', 'id': '71', 'name': 'Ethiopia', 'behavior': 'shared'}, {'type': 'Location', 'id': '116', 'name': 'Kenya', 'behavior': 'shared'}, {'type': 'Location', 'id': '206', 'name': 'Somalia', 'behavior': 'shared'}, {'type': 'Location', 'id': '212', 'name': 'Sudan', 'behavior': 'shared'}, {'type': 'Location', 'id': '211', 'name': 'South Sudan', 'behavior': 'shared'}, {'type': 'Location', 'id': '233', 'name': 'Uganda', 'behavior': 'shared'}, {'type': 'UsageYear', 'id': '45', 'name': '2024', 'behavior': 'shared'}, {'type': 'UsageYear', 'id': '44', 'name': '2023', 'behavior': 'shared'}, {'type': 'UsageYear', 'id': '43', 'name': '2022', 'behavior': 'shared'}, {'type': 'UsageYear', 'id': '42', 'name': '2021', 'behavior': 'shared'}, {'type': 'UsageYear', 'id': '46', 'name': '2025', 'behavior': 'shared'}]",incoming,shared,"[{'sourceType': 'Primary', 'organization': 'Germany, Government of', 'reportChannel': 'From EDRIS', 'date': '2021-07-12T00:00:00.000Z'}]",AA-S09-321.50 AFR 06/21
235706,0,40982811.0,2021,"[272108, 272109, 259510, 235709, 235722, 235727, 269253, 271706, 271708, 235721, 272026, 271705, 272025, 272027, 235717, 272664, 272663, 272661, 272665, 235720, 235729, 259513, 235754, 235719, 235723, 235730, 327022, 327069, 327076, 327068, 235724, 327065, 327064, 327066, 327067, 327077, 235707, 235710, 235728, 235755, 235760, 235725, 235713, 235716, 260698, 327021, 235726, 272110, 259512, 272662, 269255, 235756, 259511, 260697, 235759, 272028, 235761, 235711, 269252, 272111, 235715]",financial,2021-07-20T02:25:17.500Z,2021-07-19T00:00:00Z,2021-07-19T00:00:00Z,Multisectoral humanitarian response to the deteriorating food situation with a focus on severely affected crisis contexts in Sub-Saharan Africa,['softly earmarked'],0.838,2021-07-19T00:00:00Z,Parked,['Multiyear'],True,0.0,EUR,Traditional aid,,commitment,2025-05-20T13:46:04.392Z,1,"[{'type': 'Organization', 'id': '4306', 'name': 'Germany, Government of', 'behavior': 'single', 'organizationTypes': ['Governments'], 'organizationSubTypes': ['National Governments'], 'organizationLevels': ['National and Sub-National State Actors']}, {'type': 'Location', 'id': '83', 'name': 'Germany', 'behavior': 'single'}, {'type': 'UsageYear', 'id': '42', 'name': '2021', 'behavior': 'shared'}, {'type': 'UsageYear', 'id': '43', 'name': '2022', 'behavior': 'shared'}, {'type': 'UsageYear', 'id': '44', 'name': '2023', 'behavior': 'shared'}, {'type': 'UsageYear', 'id': '45', 'name': '2024', 'behavior': 'shared'}, {'type': 'UsageYear', 'id': '46', 'name': '2025', 'behavior': 'shared'}]","[{'type': 'Organization', 'id': '4536', 'name': 'Action Contre la Faim - Action Against Hunger International', 'behavior': 'single', 'organizationTypes': ['NGOs'], 'organizationSubTypes': ['International NGOs'], 'organizationLevels': ['International Actors']}, {'type': 'Location', 'id': '71', 'name': 'Ethiopia', 'behavior': 'shared'}, {'type': 'Location', 'id': '233', 'name': 'Uganda', 'behavior': 'shared'}, {'type': 'Location', 'id': '206', 'name': 'Somalia', 'behavior': 'shared'}, {'type': 'Location', 'id': '211', 'name': 'South Sudan', 'behavior': 'shared'}, {'type': 'Location', 'id': '212', 'name': 'Sudan', 'behavior': 'shared'}, {'type': 'Location', 'id': '137', 'name': 'Mali', 'behavior': 'shared'}, {'type': 'UsageYear', 'id': '45', 'name': '2024', 'behavior': 'shared'}, {'type': 'UsageYear', 'id': '44', 'name': '2023', 'behavior': 'shared'}, {'type': 'UsageYear', 'id': '43', 'name': '2022', 'behavior': 'shared'}, {'type': 'UsageYear', 'id': '42', 'name': '2021', 'behavior': 'shared'}, {'type': 'UsageYear', 'id': '46', 'name': '2025', 'behavior': 'shared'}]",incoming,shared,"[{'sourceType': 'Primary', 'organization': 'Germany, Government of', 'reportChannel': 'From EDRIS', 'date': '2021-07-19T00:00:00.000Z'}]",AA-S09 321.50 AFR 03/21
247349,0,3434303.0,2022,"[275339, 275340, 275341, 395945]",financial,2022-03-04T02:26:00.881Z,2022-03-03T00:00:00Z,2022-03-03T00:00:00Z,"MFA, Annual Programme 2022",['earmarked'],6.53,2022-03-03T00:00:00Z,Parked,['Multiyear'],True,0.0,DKK,Traditional aid,,paid,2026-07-17T14:24:21.203Z,1,"[{'type': 'Organization', 'id': '3776', 'name': 'Denmark, Government of', 'behavior': 'single', 'organizationTypes': ['Governments'], 'organizationSubTypes': ['National Governments'], 'organizationLevels': ['National and Sub-National State Actors']}, {'type': 'Location', 'id': '61', 'name': 'Denmark', 'behavior': 'single'}, {'type': 'UsageYear', 'id': '43', 'name': '2022', 'behavior': 'single'}]","[{'type': 'Organization', 'id': '4695', 'name': 'Adventist Development and Relief Agency', 'behavior': 'single', 'organizationTypes': ['NGOs'], 'organizationSubTypes': ['International NGOs'], 'organizationLevels': ['International Actors']}, {'type': 'Location', 'id': '211', 'name': 'South Sudan', 'behavior': 'single'}, {'type': 'UsageYear', 'id': '43', 'name': '2022', 'behavior': 'shared'}, {'type': 'UsageYear', 'id': '44', 'name': '2023', 'behavior': 'shared'}, {'type': 'UsageYear', 'id': '45', 'name': '2024', 'behavior': 'shared'}, {'type': 'UsageYear', 'id': '46', 'name': '2025', 'behavior': 'shared'}]",incoming,shared,"[{'sourceType': 'Primary', 'organization': 'Denmark, Government of', 'reportChannel': 'From EDRIS', 'date': '2022-03-03T00:00:00.000Z'}]",2022-2514
250324,0,2155172.0,,"[250325, 250326, 250327, 250328]",financial,2022-04-20T15:00:55.207Z,2022-02-28T00:00:00Z,,"Reconciliation, Stabilization and Resilience Trust Fund (RSRTF).Protection, access and security. Multiyear 2022/2025, total amount CHF 2,000,000",['earmarked'],0.928,2022-03-15T00:00:00Z,Parked,['Multiyear'],True,0.0,CHF,Traditional aid,,paid,2024-03-28T14:46:43.329Z,1,"[{'type': 'Organization', 'id': '2924', 'name': 'Switzerland, Government of', 'behavior': 'single', 'organizationTypes': ['Governments'], 'organizationSubTypes': ['National Governments'], 'organizationLevels': ['National and Sub-National State Actors']}, {'type': 'Location', 'id': '217', 'name': 'Switzerland', 'behavior': 'single'}, {'type': 'UsageYear', 'id': '43', 'name': '2022', 'behavior': 'single'}]","[{'type': 'Organization', 'id': '5294', 'name': 'United Nations Development Programme', 'behavior': 'single', 'organizationTypes': ['Multilateral Organizations'], 'organizationSubTypes': ['UN Agencies'], 'organizationLevels': ['International Actors']}, {'type': 'Location', 'id': '211', 'name': 'South Sudan', 'behavior': 'single'}, {'type': 'UsageYear', 'id': '43', 'name': '2022', 'behavior': 'shared'}, {'type': 'UsageYear', 'id': '44', 'name': '2023', 'behavior': 'shared'}, {'type': 'UsageYear', 'id': '45', 'name': '2024', 'behavior': 'shared'}, {'type': 'UsageYear', 'id': '46', 'name': '2025', 'behavior': 'shared'}]",incoming,shared,"[{'sourceType': 'Primary', 'organization': 'Switzerland, Government of', 'reportChannel': 'Email', 'date': '2022-03-15T00:00:00.000Z'}]",7F-10869.01
250328,215517,,,,financial,2022-04-20T15:06:12.084Z,2022-02-28T00:00:00Z,,"Reconciliation, Stabilization and Resilience Trust Fund (RSRTF).Protection, access and security. Multiyear 2022/2025. 2025 total amount CHF 500,000",['earmarked'],0.928,2022-03-15T00:00:00Z,Standard,['Multiyear'],True,200000.0,CHF,Traditional aid,250324.0,commitment,2024-03-28T14:46:43.089Z,1,"[{'type': 'Organization', 'id': '2924', 'name': 'Switzerland, Government of', 'behavior': 'single', 'organizationTypes': ['Governments'], 'organizationSubTypes': ['National Governments'], 'organizationLevels': ['National and Sub-National State Actors']}, {'type': 'Location', 'id': '217', 'name': 'Switzerland', 'behavior': 'single'}, {'type': 'UsageYear', 'id': '43', 'name': '2022', 'behavior': 'single'}]","[{'type': 'Organization', 'id': '11539', 'name': 'South Sudan Multi-Partner Trust Fund for Reconciliation, Stabilization, Resilience', 'behavior': 'single', 'organizationTypes': ['Pooled Funds'], 'organizationSubTypes': ['Other Pooled Funds'], 'organizationLevels': ['Pooled Funds']}, {'type': 'GlobalCluster', 'id': '10', 'name': 'Protection', 'behavior': 'single'}, {'type': 'Location', 'id': '211', 'name': 'South Sudan', 'behavior': 'single'}, {'type': 'UsageYear', 'id': '46', 'name': '2025', 'behavior': 'single'}]",incoming,single,"[{'sourceType': 'Primary', 'organization': 'Switzerland, Government of', 'reportChannel': 'Email', 'date': '2022-03-15T00:00:00.000Z'}]",7F-10869.01
251158,1,840336.0,2024,"[282637, 282640, 282638, 282639]",financial,2024-05-10T02:28:49.038Z,2022-04-13T00:00:00Z,2022-04-13T00:00:00Z,"Integrated support to basic education, protection and livelihoods for conflict and floods affected populations in Jonglei and Upper Nile States, South Sudan.",['unearmarked'],0.952,2022-04-29T00:00:00Z,Parked,['Multiyear'],True,0.0,EUR,Traditional aid,,commitment,2024-12-18T22:06:35.564Z,3,"[{'type': 'Organization', 'id': '8523', 'name': ""European Commission's Humanitarian Aid and Civil Protection Department"", 'behavior': 'single', 'organizationTypes': ['Multilateral Organizations'], 'organizationSubTypes': ['Other Multilateral Organizations'], 'organizationLevels': ['International Actors']}, {'type': 'UsageYear', 'id': '45', 'name': '2024', 'behavior': 'single'}]","[{'type': 'Organization', 'id': '8500', 'name': 'ACT Alliance / Finn Church Aid', 'behavior': 'single', 'organizationTypes': ['NGOs'], 'organizationSubTypes': ['International NGOs'], 'organizationLevels': ['International Actors']}, {'type': 'Location', 'id': '211', 'name': 'South Sudan', 'behavior': 'single'}, {'type': 'UsageYear', 'id': '46', 'name': '2025', 'behavior': 'shared'}, {'type': 'UsageYear', 'id': '45', 'name': '2024', 'behavior': 'shared'}, {'type': 'UsageYear', 'id': '44', 'name': '2023', 'behavior': 'shared'}, {'type': 'UsageYear', 'id': '43', 'name': '2022', 'behavior': 'shared'}]",incoming,shared,"[{'sourceType': 'Primary', 'organization': ""European Commission's Humanitarian Aid and Civil Protection Department"", 'reportChannel': 'From EDRIS', 'date': '2024-04-12T00:00:00.000Z'}]",ECHO/-AF/BUD/2022/91006
