title,date,source,url
Ebola is putting millions of children at risk,2026-07-31T15:04:00+00:00,War Child UK,https://reliefweb.int/node/4223893
South Sudan: BVD Outbreak Readiness - DREF Operational Update (MDRSS019),2026-07-31T14:59:43+00:00,International Federation of Red Cross and Red Crescent Societies,https://reliefweb.int/node/4223890
Sudan Situation: UNHCR Monthly External Update #120 - June 2026,2026-07-31T10:03:09+00:00,UN High Commissioner for Refugees,https://reliefweb.int/node/4223840
Ethiopia Situation: Population Dashboard - 30 June 2026,2026-07-31T08:03:15+00:00,UN High Commissioner for Refugees,https://reliefweb.int/node/4223828
South Sudan Situation: Population Dashboard - 30 June 2026,2026-07-31T08:03:12+00:00,UN High Commissioner for Refugees,https://reliefweb.int/node/4223827
Regional Dashboard RBESA: EAC Region | Population of concern to UNHCR - 30 June 2026,2026-07-31T07:03:20+00:00,UN High Commissioner for Refugees,https://reliefweb.int/node/4223823
Regional Dashboard RBESA: IGAD Region | Population of concern to UNHCR - 30 June 2026,2026-07-31T07:03:17+00:00,UN High Commissioner for Refugees,https://reliefweb.int/node/4223822
Regional Dashboard RBESA: IDPs Dashboard - 30 June 2026,2026-07-31T07:03:14+00:00,UN High Commissioner for Refugees,https://reliefweb.int/node/4223821
Regional Dashboard RBESA: Refugees and asylum-seekers by country of asylum as of 30 June 2026,2026-07-31T07:03:12+00:00,UN High Commissioner for Refugees,https://reliefweb.int/node/4223820
"East Africa - Food Security Outlook: Needs remain high in East Africa amid ongoing conflict, economic, and weather shocks, June 2026 - January 2027",2026-07-31T03:13:41+00:00,Famine Early Warning System Network,https://reliefweb.int/node/4223802
Uganda Country Refugee Response Plan - Detailed planning 2026-2030,2026-07-30T14:03:11+00:00,UN High Commissioner for Refugees,https://reliefweb.int/node/4223737
South Sudan Nutrition Cluster - Quarterly Bulletin | Q3 2026,2026-07-30T04:52:39+00:00,"Nutrition Cluster, UN Children's Fund",https://reliefweb.int/node/4223653
"WHO Weekly Situation Update on Ongoing Health Emergency Events in South Sudan - Week #30, Date: 20–26 Jul 2026",2026-07-30T04:13:43+00:00,World Health Organization,https://reliefweb.int/node/4223649
"South Sudan’s fight against the triple threat: Advancing action on HIV, Syphilis, and Hepatitis B",2026-07-29T14:14:35+00:00,World Health Organization,https://reliefweb.int/node/4223589
Sudan Situation: UNHCR Monthly External Update #119 - May 2026,2026-07-29T14:03:07+00:00,UN High Commissioner for Refugees,https://reliefweb.int/node/4223587
"Renk County Area Based - Durable Solutions Strategy for Refugees, Returnees, Internally Displaced and Host Community (2026-2028)",2026-07-29T08:03:09+00:00,UN High Commissioner for Refugees,https://reliefweb.int/node/4223505
"Technical protocol for Standardized Monitoring and Assessment of Relief and Transitions (SMART) Survey in Akoka County Upper Nile State, South Sudan (May 2026)",2026-07-29T02:08:17+00:00,REACH Initiative,https://reliefweb.int/node/4223487
South Sudan: Finding Loved Ones Again Through the Power of Digital Connectivity,2026-07-29T00:19:56+00:00,International Committee of the Red Cross,https://reliefweb.int/node/4223478
South Sudan receives emergency medical supplies to strengthen cholera response,2026-07-28T12:17:41+00:00,World Health Organization,https://reliefweb.int/node/4223392
WHO equips health facilities with refrigerators to strengthen access to safe blood,2026-07-28T12:15:55+00:00,World Health Organization,https://reliefweb.int/node/4223391
Jonglei Conflict Affected Counties - 5 July 2026,2026-07-28T12:03:11+00:00,UN High Commissioner for Refugees,https://reliefweb.int/node/4223386
South Sudan - Jonglei State Map - 5 July 2026,2026-07-28T11:03:09+00:00,UN High Commissioner for Refugees,https://reliefweb.int/node/4223371
UNHCR - IOM Sudan Emergency Response Vulnerability Profiling of Families - June 2026,2026-07-28T10:03:31+00:00,"International Organization for Migration, UN High Commissioner for Refugees",https://reliefweb.int/node/4223353
South Sudan New Arrivals Population Tracking - UNHCR Sudan Situation - June 2026,2026-07-28T10:03:28+00:00,UN High Commissioner for Refugees,https://reliefweb.int/node/4223352
South Sudan: Refugees and Asylum seekers | Persons with Specific Needs - June 2026,2026-07-28T10:03:26+00:00,UN High Commissioner for Refugees,https://reliefweb.int/node/4223351
Sudan Situation: Refugees and Asylum-seekers Movement and Presence - June 2026,2026-07-28T10:03:23+00:00,UN High Commissioner for Refugees,https://reliefweb.int/node/4223350
South Sudan - Refugee Population in Jamjang - 30 June 2026,2026-07-28T10:03:20+00:00,UN High Commissioner for Refugees,https://reliefweb.int/node/4223349
South Sudan - Refugee Population in Upper Nile State - 30 June 2026,2026-07-28T10:03:17+00:00,UN High Commissioner for Refugees,https://reliefweb.int/node/4223347
South Sudan - Refugee Population in Maban - 30 June 2026,2026-07-28T10:03:14+00:00,UN High Commissioner for Refugees,https://reliefweb.int/node/4223346
South Sudan - Refugee and Asylum-seeker Population - 30 June 2026,2026-07-28T10:03:11+00:00,UN High Commissioner for Refugees,https://reliefweb.int/node/4223345
WFP South Sudan Weekly Market Monitor (15 –21 June 2026),2026-07-27T15:03:16+00:00,World Food Programme,https://reliefweb.int/node/4223234
"Humanitarian Feedback Bulletin: Accountability to Affected Populations - Aweil, South Sudan I June 2026 Issue #3",2026-07-27T14:54:35+00:00,"Concern Worldwide, World Food Programme",https://reliefweb.int/node/4223231
WFP South Sudan Weekly Market Monitor (22 –28 June 2026),2026-07-27T14:53:47+00:00,World Food Programme,https://reliefweb.int/node/4223230
WFP South Sudan Weekly Market Monitor (29 June –5 July 2026),2026-07-27T11:33:42+00:00,World Food Programme,https://reliefweb.int/node/4223160
WFP South Sudan Weekly Market Monitor (6 –12 July 2026),2026-07-27T11:21:23+00:00,World Food Programme,https://reliefweb.int/node/4223157
"UNICEF South Sudan Humanitarian Situation Report No. 4, 01-31 May 2026",2026-07-26T23:30:02+00:00,UN Children's Fund,https://reliefweb.int/node/4223072
"République Démocratique du Congo - Détermination du Statut de Réfugié (DSR), Janvier - Juin 2026",2026-07-26T15:03:13+00:00,UN High Commissioner for Refugees,https://reliefweb.int/node/4223064
République Démocratique du Congo - Réfugiés Sud-soudanais au 30 juin 2026,2026-07-26T14:03:12+00:00,UN High Commissioner for Refugees,https://reliefweb.int/node/4223061
Democratic Republic of Congo - Voluntary Repatriation from/to DRC (30 June 2026),2026-07-26T12:03:09+00:00,UN High Commissioner for Refugees,https://reliefweb.int/node/4223052
République Démocratique du Congo - Rapatriement de la RDC vers d’autres pays et d’autres pays vers la RDC au 30 juin 2026,2026-07-26T11:03:16+00:00,UN High Commissioner for Refugees,https://reliefweb.int/node/4223051
South Sudan: Malakal Former Protection of Civilians (PoC) Site Intentions Survey (June 2026),2026-07-25T01:34:29+00:00,International Organization for Migration,https://reliefweb.int/node/4223033
Sudan Situation Map Weekly Regional Update - 20 July 2026,2026-07-24T12:03:12+00:00,UN High Commissioner for Refugees,https://reliefweb.int/node/4222948
"South Sudan - Access Constraints Map, 23 July 2026",2026-07-24T09:40:07+00:00,"Logistics Cluster, World Food Programme",https://reliefweb.int/node/4222920
WFP Ethiopia Country Brief July 2026,2026-07-24T07:48:40+00:00,World Food Programme,https://reliefweb.int/node/4222904
WFP Response to the Ebola Outbreak - External Situation Report (23 July 2026),2026-07-24T05:37:26+00:00,World Food Programme,https://reliefweb.int/node/4222896
South Sudan Nutrition Cluster - Key Community Messages on Breastfeeding in Bundibugyo Ebola Virus Disease (BEVD) Context,2026-07-24T03:48:17+00:00,"Nutrition Cluster, UN Children's Fund",https://reliefweb.int/node/4222880
South Sudan - Jonglei: Twic East County Water Source Functionality (July 2026),2026-07-24T03:17:08+00:00,REACH Initiative,https://reliefweb.int/node/4222878
South Sudan - Jonglei: Twic East County Health Facility Functionality (July 2026),2026-07-24T03:15:55+00:00,REACH Initiative,https://reliefweb.int/node/4222877
South Sudan - Jonglei: Twic East County Education Facility Functionality (July 2026),2026-07-24T03:14:40+00:00,REACH Initiative,https://reliefweb.int/node/4222876
South Sudan - Jonglei: Twic East County Community Facility Functionality (July 2026),2026-07-24T03:13:14+00:00,REACH Initiative,https://reliefweb.int/node/4222875
